"","시도코드","일시","발생건수","시도","평균기온(°C)","최저기온(°C)","최고기온(°C)","평균 풍속(m/s)","평균 현지기압(hPa)","일 최심신적설(cm)","일강수량(mm)","강수 계속시간(hr)","최다풍향(16방위)","SO2","CO","O3","NO2","PM10","PM25","PM10등급","PM25등급","년도","인구수","발병률"
"1","11",2016-01-01,35,"서울",1.2,-3.3,4,1.6,1019.9,0,0,0,14,0.006083333,0.978070175,0.005172566,0.049218202,69.97975253,43.50606586,2,2,"2016",9805506,0.000356942313838776
"2","11",2016-01-02,36,"서울",5.7,1,9.5,2,1012,0,0,0,14,0.00610307,0.737061404,0.008488739,0.04620614,53.58295455,30.94664372,2,2,"2016",9805506,0.000367140665662741
"3","11",2016-01-03,30,"서울",6.5,5.1,9.4,1.8,1008.9,0,0,0,14,0.007364435,0.956497797,0.012011274,0.051611416,98.53239105,57.75212224,3,3,"2016",9805506,0.000305950554718951
"4","11",2016-01-04,36,"서울",2,-2.5,5.3,3.1,1013.1,0,0,0,1,0.006256891,0.640290179,0.022640625,0.029584344,78.65668203,46.87113402,2,2,"2016",9805506,0.000367140665662741
"5","11",2016-01-05,36,"서울",-2.7,-4.8,1.5,2.3,1016.9,0,0,0,14,0.006104526,0.466702703,0.01478556,0.029282937,33.75873362,16.39460371,2,2,"2016",9805506,0.000367140665662741
"6","11",2016-01-06,36,"서울",-1.7,-4.9,1.7,1.8,1014.7,0,0,0,1,0.007197849,0.708709677,0.006745161,0.044027957,57.90393013,29.45868465,2,2,"2016",9805506,0.000367140665662741
"7","11",2016-01-07,36,"서울",-3.4,-5.9,1.4,2.5,1013.9,0,0,0,13,0.006290252,0.549501661,0.01426287,0.030575658,41.78422782,20.46034483,2,2,"2016",9805506,0.000367140665662741
"8","11",2016-01-08,36,"서울",-3.3,-6.9,1,2,1012.6,0,0,0,16,0.006501085,0.566160521,0.012557484,0.034588937,36.62322015,17.52339688,2,2,"2016",9805506,0.000367140665662741
"9","11",2016-01-09,36,"서울",-2.1,-6.2,2.4,2.1,1014.3,0,0,0,2,0.006250814,0.567787419,0.012309111,0.03587649,39.10710383,19.36769759,2,2,"2016",9805506,0.000367140665662741
"10","11",2016-01-10,28,"서울",0.3,-2.7,3.8,2.6,1015.5,0,0,0,2,0.006267094,0.505674518,0.018370726,0.029827991,34.47639485,18.66444073,2,2,"2016",9805506,0.000285553851071021
"11","11",2016-01-11,36,"서울",-3.8,-6.5,0.9,2.8,1016.1,0,0,0,2,0.006218241,0.546145494,0.015176982,0.032972856,41.85978261,20.76101695,2,2,"2016",9805506,0.000367140665662741
"12","11",2016-01-12,36,"서울",-5.2,-9.1,0.7,2.5,1013.3,0,0,0,2,0.006066239,0.60715812,0.010714744,0.039282051,50.99355532,23.47297297,2,2,"2016",9805506,0.000367140665662741
